Cheetah,carnivore,Carnivora,lc,50
Owl monkey,omnivore,Primates,ne,0.48
Mountain beaver,herbivore,Rodentia,nt,1.35
Greater short-tailed shrew,omnivore,Soricomorpha,lc,0.019
Cow,herbivore,Artiodactyla,do,600
Three-toed sloth,herbivore,Pilosa,ne,3.85
Northern fur seal,carnivore,Carnivora,vu,20.49
Vesper mouse,omnivore,Rodentia,ne,0.045
Dog,carnivore,Carnivora,do,14
Roe deer,herbivore,Artiodactyla,lc,14.8
Goat,herbivore,Artiodactyla,lc,33.5
Guinea pig,herbivore,Rodentia,do,0.728
Grivet,omnivore,Primates,lc,4.75
Chinchilla,herbivore,Rodentia,do,0.42
Star-nosed mole,omnivore,Soricomorpha,lc,0.06
African giant pouched rat,omnivore,Rodentia,ne,1
Lesser short-tailed shrew,omnivore,Soricomorpha,lc,0.005
Long-nosed armadillo,carnivore,Cingulata,lc,3.5
Tree hyrax,herbivore,Hyracoidea,lc,2.95
North American Opossum,omnivore,Didelphimorphia,lc,1.7
Asian elephant,herbivore,Proboscidea,en,2547
Big brown bat,insectivore,Chiroptera,lc,0.023
Horse,herbivore,Perissodactyla,do,521
Donkey,herbivore,Perissodactyla,do,187
European hedgehog,omnivore,Erinaceomorpha,lc,0.77
Patas monkey,omnivore,Primates,lc,10
Western american chipmunk,herbivore,Rodentia,ne,0.071
Domestic cat,carnivore,Carnivora,do,3.3
Galago,omnivore,Primates,ne,0.2
Giraffe,herbivore,Artiodactyla,cd,899.995
Pilot whale,carnivore,Cetacea,cd,800
Gray seal,carnivore,Carnivora,lc,85
Gray hyrax,herbivore,Hyracoidea,lc,2.625
Human,omnivore,Primates,ne,62
Mongoose lemur,herbivore,Primates,vu,1.67
African elephant,herbivore,Proboscidea,vu,6654
Thick-tailed opposum,carnivore,Didelphimorphia,lc,0.37
Macaque,omnivore,Primates,ne,6.8
Mongolian gerbil,herbivore,Rodentia,lc,0.053
Golden hamster,herbivore,Rodentia,en,0.12
